conversation_id	turn_id	id	query	original
88	4	88_4	Why was Hatt-i Sharif important?	Why was it important?
88	5	88_5	What was the culture like in the Ottoman Empire?	What was the culture like?
88	6	88_6	What was the role of storytellers in the Ottoman Empire?	What was the role of storytellers?
88	7	88_7	What were popular stories about the Ottoman Empire?	What were popular stories?
88	8	88_8	What was the importance of the millet in the Ottoman Empire?	What was the importance of the millet?
88	9	88_9	Why did the British continue the meddah performance in the 16th century?	Why did the British continue it?
88	10	88_10	What is Nubian girls historical importance in developing national identities?	What is its historical importance in developing national identities?
89	1	89_1	What is the relationship between predator and prey?	What is the relationship between predator and prey?
89	2	89_2	What do predator plants eat?	What do predator plants eat?
89	3	89_3	What about Venus flytraps in particular?	What about Venus flytraps in particular?
89	4	89_4	Where is Venus flytrap native to?	Where is it native to?
89	5	89_5	How do the Galapagos tortoises attract and catch their prey?	How do they attract and catch their prey?
89	6	89_6	Other than Dionaea muscipula, what are other similar plants from Venus flytrap native area?	What are other similar plants from its native area?
89	7	89_7	How do populations of predators and prey relate to Venus flytraps?	How do populations of predators and prey relate?
89	8	89_8	Why would the roles of Venus flytrap reverse?	Why would the roles reverse?
89	9	89_9	How does the relationship between Venus flytraps and predators influence biodiversity?	How does the relationship influence biodiversity?
89	10	89_10	What are examples of apex predators that become reversed to the point that prey begin to eat the predators?	What are examples of these predators?
89	11	89_11	Why would humans be considered Venus flytraps?	Why would humans be considered one?
90	1	90_1	Which is the biggest commercial plane?	Which is the biggest commercial plane?
90	2	90_2	What are the operational costs of the Airbus A380?	What are its operational costs?
90	3	90_3	How does the Airbus A380 fuel consumption compare to its competitors?	How does its fuel consumption compare to its competitors?
90	4	90_4	How do the freighter versions of the Airbus A380 compare to each other?	How do the freighter versions compare to each other?
90	5	90_5	Why did the Airbus A380 stop being produced?	Why did the A380 stop being produced?
90	6	90_6	What was Boeing's response to compete with the 747-8I?	What was Boeing's response to compete with it?
90	7	90_7	What is the newest version of the Airbus A330-200F and what is better about it?	What is the newest version and what is better about it?
90	8	90_8	What are the differences between the Boeing 777X variants?	What are the differences between the variants?
91	1	91_1	What is the purpose of GDPR?	What is the purpose of GDPR?
91	2	91_2	What is different compared to previous legislation in the EU?	What is different compared to previous legislation?
91	3	91_3	What are the privacy implications of social networks and cloud computing?	What are the privacy implications of those technologies?
91	4	91_4	What is the full range of personal data in the context of GDPR?	Oh, IP addresses are considered PII? What is the full range of personal data?
91	5	91_5	How do big companies adapt to GDPR?	How do big companies adapt to GDPR?
91	6	91_6	Tell me about the privacy issues in social networks.	OK. Tell me about the privacy issues in social networks.
91	7	91_7	What do companies get in return for their privacy under the GDPR?	What do they get in return for their privacy?
91	8	91_8	What are the symptoms of social network addiction?	What are the symptoms of that addiction?
92	1	92_1	Do shoulder braces help recover from an injury?	Do shoulder braces help recover from an injury?
92	2	92_2	Tell me more about some exercises that could help with shoulder braces.	Tell me more about some exercises that could help.
92	3	92_3	What are some other exercises that could help shoulder braces recover from an injury?	What are some others?
92	4	92_4	How do I know if an injury is serious?	How do I know if it's serious?
92	5	92_5	When should you consider surgery for a broken or bruised shoulder?	When should you consider surgery?
92	6	92_6	Other than exercises for shoulder impingement syndrome, what are other ways to treat the pain?	That seems extreme. What are other ways to treat the pain?
92	7	92_7	How do I stop my shoulder from hurting at my desk?	How do I stop it from hurting at my desk?
92	8	92_8	What are the benefits of a standing shoulder brace?	What are the benefits of a standing one?
93	1	93_1	Tell me about purchasing a Burger King franchise.	Tell me about purchasing a Burger King franchise.
93	2	93_2	I want to know how to open a Burger King franchise.	No, not information about its acquisition. I want to know how to open a franchise.
93	3	93_3	Is there any financial support for the initial franchise fee for a Burger King?	Is there any financial support for the fee?
93	4	93_4	How much does an owner typically make for a Burger King franchise?	How much does an owner typically make?
93	5	93_5	Is it better to be a franchise or independent?	Is it better to be a franchise or independent?
93	6	93_6	What support does Burger King provide?	What support does it provide?
93	7	93_7	What is the process to open a Burger King franchise?	OK let's do it. What is the process?
94	1	94_1	How did snowboarding begin?	How did snowboarding begin?
94	2	94_2	Who were the winners of the 1998 Winter Olympic sport?	Interesting. That's later than I expected. Who were the winners?
94	3	94_3	What are strap-in bindings in snowboarding?	What are strap-in bindings?
94	4	94_4	What's an alternative to strap-in binding style?	What's an alternative to this binding style?
94	5	94_5	What else do I need for my first time other than strap-in bindings?	What else do I need for my first time?
94	6	94_6	How can I teach myself to get started with snowboarding?	How can I teach myself to get started?
94	7	94_7	What are the best slopes in Seattle for snowboarding?	What are the best slopes in Seattle?
94	8	94_8	Besides snowboarding, what are other things to do at Bachelor?	What are other things to do at Bachelor?
95	1	95_1	How are waste and garbage processed?	How are waste and garbage processed?
95	2	95_2	What is the impact of burning on the environment?	Interesting. What is the impact of burning on the environment?
95	3	95_3	So you can compact waste; why does it slow the waste processing?	So you can compact them; why does it slow the waste processing?
95	4	95_4	How is sewage recycled?	How is sewage recycled?
95	5	95_5	What are the pros and cons of recycling vs composting?	What are the pros and cons of recycling vs composting?
95	6	95_6	Tell me more about biodegradable plastics.	Tell me more about biodegradable plastics.
95	7	95_7	How are biodegradable plastics made?	How are they made?
95	8	95_8	How is corn oil used in municipal composting?	How is corn oil used?
96	1	96_1	How do you make Japanese Yakiniku?	How do you make Japanese Yakiniku?
96	2	96_2	Can the Ebara Yakiniku sauce be used in other dishes besides Yakiniku?	Can the sauce be used in other dishes?
96	3	96_3	What are the best Yakiniku restaurants in Tokyo?	What are the best Yakiniku restaurants in Tokyo?
96	4	96_4	Tell me about three star Michelin sushi restaurants in Tokyo.	Tell me about three star Michelin sushi restaurants there.
96	5	96_5	Do you need an agent to make reservations at Kagurazaka Ishikawa?	Oh you need an agent to make reservations?
96	6	96_6	Besides yakiniku restaurants, tell me other fun things to do in Tokyo.	Tell me other fun things to do there.
96	7	96_7	What is the cost of living in Tokyo compared to NYC?	What is the cost of living there compared to NYC?
96	8	96_8	What is the salary of foreign law firms in Tokyo?	What is the salary of foreign law firms there?
97	1	97_1	Who are the rivals of the Steelers?	Who are the rivals of the Steelers?
97	2	97_2	What are notable games between Ravens versus Steelers?	What are notable games between Ravens versus Steelers?
97	3	97_3	What are notable moments in the rivalry between Pittsburgh and the Steelers?	And notable moments in their rivalry?
97	4	97_4	Tell me more about Troy Polamalu's interception in the Ravens vs Steelers game.	Tell me more about that Polamalu's interception.
97	5	97_5	How about Polamalu's pick-6?	How about his pick-6?
97	6	97_6	Tell me more about Polamalu's immaculate reception in the 2008 NFL season.	Tell me more about the immaculate reception.
97	7	97_7	What happened to the stadium where Polamalu played in the 2008 AFC Championship game against the Baltimore Ravens?	What happened to the stadium?
97	8	97_8	Tell me more about Steelers defense.	Tell me more about their defense.
98	1	98_1	What is the environmental cost of food production?	What is the environmental cost of food production?
98	2	98_2	How much water does wasted food use for meat?	Oh that much water? How is that for meat?
98	3	98_3	How much less is used for vegetables?	How much less is used for vegetables?
98	4	98_4	What are the benefits of being vegetarian?	What are the benefits of being vegetarian?
98	5	98_5	Are there any health concerns with water in foodstuffs?	Are there any health concerns?
98	6	98_6	What are the sources of proteins in fruits and vegetables?	What are their sources of proteins?
98	7	98_7	Can you show me recipes with almonds?	Oh almonds? Can you show me recipes with it?
98	8	98_8	How do you make the flour for macarons?	How do you make the flour?
99	1	99_1	What is high blood carbon dioxide?	What is high blood carbon dioxide?
99	2	99_2	What should you do to treat high blood carbon dioxide?	What should you do to treat it?
99	3	99_3	How about high cholesterol?	How about high cholesterol?
99	4	99_4	What should I eat to improve high blood carbon dioxide levels?	What should I eat to improve it?
99	5	99_5	What are the differences between saturated fat and trans fat?	What are the differences between the two fats?
99	6	99_6	Is the other fat good for you besides saturated fat and unsaturated fat?	So, there are two types.  Is the other fat good for you?
99	7	99_7	What other foods are good sources of fish other than fish?	Oh I like fish.  What other foods are good sources?
99	8	99_8	What types of fat does olive oil contain?	What types does olive oil contain?
100	1	100_1	What causes my teeth to chip off?	What causes my teeth to chip off?
100	2	100_2	What can your dentist do to fix a Chipped or Broken Tooth?	Oh, what can they do to fix it?
100	3	100_3	I have a larger chip, how do the options different for a chipped or broken tooth?	I have a larger chip, how do the options different?
100	4	100_4	What about using an implant to fix a chipped or broken tooth?	A crown sounds better. What about using an implant?
100	5	100_5	Which one is more expensive to repair chipped teeth?	Which one is more expensive?
100	6	100_6	What is the coverage of the dental crown in insurance?	What is the coverage of the crown in insurance?
100	7	100_7	Did you mean medicare for dental implants?	I meant medicare
100	8	100_8	Show me covered dentists in Seattle.	Show me covered dentists in Seattle
101	1	101_1	What is Melania Trump's religion?	What is Melania Trump's religion?
101	2	101_2	What did Melania Trump do before she was married?	What did she do before she was married?
101	3	101_3	Does Melania Trump have children?	Does she have children?
101	4	101_4	How old is Donald Trump?	How old is he?
101	5	101_5	Where did Melania Trump and Donald Trump meet at the Kit Kat Club?	They met at the Kit Kat Club?  Where is that?
101	6	101_6	When did Melania Trump become a model?	When did she become a model?
101	7	101_7	Do we pay Melania Trump to be the First Lady?	Do we pay the First Lady?
101	8	101_8	What about Melania Trump?	What about Ivanka?
101	9	101_9	Melania Trump is the second-ever First Lady to be born overseas and the first since Louisa Adams?	And Jared?
101	10	101_10	What does Donald Trump do at the White House?	What does he do at the White House?
102	1	102_1	When did social security start in the US?	When did social security start in the US?
102	2	102_2	Was social security mandatory in the US?	Was it mandatory?
102	3	102_3	Who received the first check for Social Security in the US?	Who received the first check?
102	4	102_4	When did the government start borrowing from Social Security?	When did the government start borrowing from it?
102	5	102_5	How much is owed on Social Security in the US?	How much is owed?
102	6	102_6	When will Social Security run out of money?	When will it run out of money?
102	7	102_7	Wow! What will happen when Social Security runs out of money?	Wow! What will happen?
102	8	102_8	Can NCP pay 50 percent, majority of arrears owed to family, family formerly on. Can it be fixed?	Can it be fixed?
102	9	102_9	How much of an increase will the social security trust fund make?	How much of an increase?
103	1	103_1	Why were the Dead such an influential live band?	Why were the Dead such an influential live band?
103	2	103_2	Why did Dave's Picks 11 allow live recordings of the Dead?	Why did they allow live recordings?
103	3	103_3	Did Dick's Picks have a #1 hit?	Did they have a #1 hit?
103	4	103_4	Who was the leader of Dick's Picks 11?	Who was the leader?
103	5	103_5	How did Dick Latvala lose his finger?	How did he lose his finger?
103	6	103_6	What was Jerry Garcia's relationship to the Airplane?	What was his relationship to the Airplane?
103	7	103_7	Is Jack Casady about Jack Casady?	Is Cassidy about Jack Casady?
103	8	103_8	Who wrote the song Cassidy about Jack Casady?	Who wrote it?
103	9	103_9	What else did the Dead write besides Cassidy?	What else did they write?
103	10	103_10	Why did the Dead break up?	Why did the band break up?
104	1	104_1	Who are some of the well-known Information Retrieval researchers?	Who are some of the well-known Information Retrieval researchers?
104	2	104_2	What did Bruce Croft work on?	What did he work on?
104	3	104_3	Who are some important British researchers in information retrieval?	Who are some important British ones?
104	4	104_4	What did Bruce Croft studies contribute to evaluation of information retrieval systems?	What did his studies contribute to evaluation?
104	5	104_5	What are some criticisms of the experiments in the Cranfield project?	What are some criticisms of the experiments?
104	6	104_6	How did Cleverdon and his colleagues influence modern initiatives?	How did they influence modern initiatives?
104	7	104_7	What is TREC?	What is TREC?
104	8	104_8	What are some recent tasks of the Information Retrieval community?	What are some recent tasks?
104	9	104_9	What is e-Discovery?	e-Discovery?  What's that?
104	10	104_10	What are the important components of a test collection developed at TREC?	What are the important components of a test collection?
104	11	104_11	What about benchmarks for music from TREC?	What about benchmarks for music?
104	12	104_12	What are important measures for web search engines?	What are important measures for web search engines?
104	13	104_13	What are the important online metrics?	What about online ones?
105	1	105_1	When did the Black Lives Matter campaign begin?	When did the Black Lives Matter campaign begin?
105	2	105_2	Tell me more about what happened in Ferguson, Missouri in 2014.	Tell me more about what happened.
105	3	105_3	Why was Trayvon Martin acquitted of murder?	Why was he acquitted?
105	4	105_4	What happened to Michael Brown in 2014 in Ferguson, Missouri?	And how about what happened to Brown?
105	5	105_5	Who named the Black Lives Matter movement?	Who named the movement?
105	6	105_6	What was the US reaction to the acquittal of Michael Brown?	What was the US reaction to it?
105	7	105_7	Tell me more about the movement of the police supporters following the shooting of Michael Brown.	Tell me more about the movement of the police supporters.
105	8	105_8	Why were two police officers killed in the Black Lives Matter movement?	Why were they killed?
105	9	105_9	Besides the hashtag Blue Lives Matter being created by supporters of the police, what else motivates the Black Lives Matter movement?	What else motivates the Black Lives Matter movement?
